iter	Passed	Remaining
0	58	58564
1	62	31325
2	67	22271
3	71	17724
4	75	14971
5	79	13166
6	83	11877
7	87	10905
8	91	10114
9	96	9544
10	100	9038
11	104	8597
12	109	8282
13	112	7957
14	117	7697
15	121	7458
16	125	7267
17	129	7076
18	134	6930
19	138	6785
20	142	6637
21	146	6503
22	151	6417
23	155	6314
24	159	6210
25	163	6114
26	167	6030
27	171	5954
28	175	5878
29	180	5825
30	184	5751
31	188	5690
32	192	5633
33	196	5587
34	200	5528
35	204	5473
36	208	5432
37	212	5379
38	216	5332
39	221	5306
40	225	5263
41	229	5223
42	232	5185
43	237	5159
44	241	5122
45	245	5089
46	249	5054
47	253	5022
48	257	4989
49	261	4974
50	265	4949
51	269	4921
52	274	4902
53	278	4883
54	282	4858
55	286	4830
56	290	4811
57	294	4785
58	298	4761
59	303	4752
60	307	4730
61	311	4709
62	315	4690
63	319	4679
64	324	4666
65	329	4663
66	333	4649
67	337	4632
68	342	4615
69	346	4604
70	350	4586
71	354	4568
72	358	4556
73	362	4539
74	367	4528
75	371	4513
76	375	4506
77	379	4490
78	383	4473
79	387	4461
80	392	4448
81	402	4504
82	409	4528
83	416	4537
84	421	4533
85	425	4525
86	429	4512
87	434	4502
88	438	4489
89	442	4473
90	446	4462
91	450	4450
92	454	4435
93	458	4420
94	463	4412
95	467	4399
96	471	4387
97	475	4376
98	479	4366
99	483	4355
100	488	4343
101	492	4332
102	496	4319
103	499	4307
104	504	4300
105	508	4291
106	512	4279
107	516	4269
108	521	4262
109	525	4250
110	529	4239
111	533	4233
112	537	4220
113	541	4209
114	546	4201
115	550	4193
116	554	4182
117	558	4171
118	562	4167
119	566	4157
120	571	4148
121	575	4138
122	579	4131
123	583	4121
124	587	4111
125	591	4103
126	595	4096
127	599	4086
128	604	4079
129	608	4071
130	612	4062
131	616	4052
132	620	4047
133	625	4039
134	628	4029
135	633	4022
136	637	4014
137	641	4009
138	645	3999
139	650	3994
140	654	3985
141	658	3975
142	662	3969
143	666	3961
144	671	3958
145	675	3949
146	679	3943
147	683	3934
148	687	3927
149	691	3920
150	696	3913
151	700	3905
152	703	3896
153	707	3889
154	712	3884
155	716	3877
156	721	3872
157	725	3864
158	729	3857
159	733	3850
160	737	3843
161	746	3862
162	753	3870
163	759	3872
164	766	3879
165	771	3874
166	775	3867
167	779	3862
168	783	3854
169	787	3846
170	791	3837
171	796	3832
172	800	3825
173	804	3817
174	808	3810
175	812	3804
176	816	3796
177	820	3788
178	825	3784
179	829	3776
180	833	3770
181	837	3764
182	841	3757
183	845	3750
184	849	3742
185	853	3735
186	857	3728
187	861	3720
188	866	3717
189	870	3710
190	874	3705
191	879	3699
192	883	3693
193	887	3686
194	891	3679
195	895	3674
196	899	3667
197	903	3659
198	907	3653
199	911	3646
200	916	3643
201	920	3636
202	925	3631
203	928	3624
204	933	3618
205	937	3612
206	941	3608
207	946	3603
208	950	3598
209	955	3593
210	959	3587
211	963	3581
212	968	3577
213	972	3571
214	976	3565
215	981	3560
216	985	3555
217	990	3551
218	995	3548
219	999	3542
220	1003	3537
221	1008	3533
222	1012	3527
223	1017	3523
224	1021	3519
225	1026	3515
226	1031	3513
227	1036	3510
228	1041	3504
229	1045	3500
230	1050	3497
231	1055	3492
232	1059	3487
233	1063	3482
234	1068	3476
235	1072	3471
236	1077	3468
237	1081	3463
238	1086	3458
239	1090	3452
240	1094	3447
241	1098	3442
242	1103	3437
243	1107	3432
244	1112	3427
245	1116	3422
246	1121	3418
247	1125	3412
248	1135	3423
249	1143	3430
250	1152	3439
251	1161	3448
252	1170	3457
253	1180	3465
254	1189	3475
255	1198	3482
256	1207	3491
257	1217	3500
258	1226	3507
259	1236	3518
260	1245	3525
261	1254	3533
262	1263	3540
263	1272	3546
264	1280	3551
265	1289	3558
266	1298	3563
267	1306	3569
268	1315	3575
269	1324	3581
270	1333	3587
271	1343	3595
272	1351	3599
273	1360	3604
274	1369	3611
275	1378	3615
276	1387	3620
277	1396	3627
278	1405	3632
279	1414	3637
280	1423	3643
281	1432	3647
282	1442	3654
283	1450	3657
284	1459	3661
285	1469	3667
286	1478	3671
287	1486	3674
288	1495	3678
289	1504	3683
290	1513	3688
291	1522	3691
292	1532	3696
293	1540	3699
294	1549	3702
295	1558	3706
296	1566	3708
297	1575	3712
298	1584	3714
299	1592	3716
300	1602	3721
301	1612	3726
302	1622	3731
303	1631	3735
304	1640	3738
305	1649	3741
306	1658	3743
307	1667	3746
308	1676	3749
309	1686	3753
310	1694	3753
311	1704	3758
312	1712	3759
313	1722	3762
314	1732	3766
315	1740	3768
316	1751	3773
317	1761	3777
318	1769	3777
319	1779	3780
320	1787	3781
321	1797	3785
322	1806	3786
323	1815	3788
324	1824	3790
325	1834	3793
326	1842	3793
327	1853	3796
328	1861	3796
329	1870	3797
330	1879	3798
331	1887	3797
332	1896	3798
333	1905	3799
334	1913	3798
335	1922	3799
336	1931	3800
337	1940	3801
338	1950	3803
339	1958	3802
340	1968	3803
341	1977	3804
342	1985	3803
343	1994	3802
344	2003	3804
345	2011	3802
346	2021	3803
347	2030	3803
348	2038	3803
349	2048	3803
350	2057	3803
351	2065	3802
352	2075	3803
353	2083	3802
354	2093	3802
355	2102	3803
356	2111	3802
357	2120	3802
358	2130	3803
359	2138	3802
360	2147	3801
361	2156	3800
362	2164	3798
363	2173	3797
364	2181	3795
365	2190	3793
366	2199	3794
367	2208	3793
368	2217	3791
369	2226	3791
370	2235	3789
371	2244	3788
372	2252	3786
373	2261	3784
374	2271	3785
375	2280	3784
376	2290	3785
377	2299	3783
378	2307	3781
379	2317	3780
380	2325	3778
381	2334	3777
382	2344	3777
383	2352	3774
384	2362	3773
385	2371	3771
386	2380	3770
387	2389	3769
388	2398	3766
389	2407	3765
390	2416	3763
391	2424	3761
392	2434	3759
393	2443	3757
394	2451	3755
395	2460	3753
396	2469	3751
397	2478	3748
398	2486	3745
399	2494	3741
400	2504	3740
401	2513	3738
402	2522	3736
403	2531	3734
404	2540	3731
405	2548	3728
406	2557	3726
407	2566	3724
408	2575	3721
409	2584	3719
410	2594	3717
411	2603	3716
412	2613	3714
413	2622	3711
414	2630	3708
415	2639	3704
416	2647	3701
417	2656	3698
418	2666	3696
419	2674	3693
420	2687	3695
421	2701	3700
422	2713	3700
423	2724	3701
424	2734	3699
425	2744	3698
426	2754	3695
427	2764	3693
428	2773	3691
429	2783	3689
430	2793	3687
431	2804	3686
432	2813	3684
433	2823	3681
434	2832	3678
435	2840	3674
436	2850	3671
437	2859	3669
438	2869	3666
439	2879	3664
440	2888	3661
441	2897	3657
442	2907	3655
443	2917	3652
444	2926	3649
445	2935	3645
446	2943	3642
447	2953	3639
448	2962	3635
449	2971	3632
450	2981	3629
451	2989	3624
452	2999	3621
453	3007	3616
454	3016	3613
455	3024	3608
456	3033	3604
457	3042	3600
458	3050	3595
459	3059	3591
460	3067	3587
461	3076	3582
462	3085	3578
463	3093	3573
464	3103	3570
465	3111	3565
466	3120	3561
467	3129	3556
468	3137	3552
469	3145	3546
470	3153	3541
471	3161	3536
472	3169	3531
473	3177	3526
474	3186	3522
475	3195	3517
476	3204	3513
477	3212	3508
478	3221	3504
479	3229	3498
480	3238	3493
481	3247	3489
482	3255	3484
483	3264	3480
484	3272	3474
485	3281	3470
486	3289	3464
487	3297	3459
488	3306	3454
489	3314	3450
490	3323	3445
491	3332	3440
492	3340	3435
493	3348	3430
494	3356	3424
495	3365	3419
496	3373	3414
497	3382	3409
498	3391	3404
499	3399	3399
500	3408	3395
501	3417	3389
502	3425	3384
503	3433	3378
504	3442	3374
505	3451	3369
506	3460	3364
507	3469	3360
508	3478	3355
509	3486	3350
510	3494	3344
511	3503	3339
512	3512	3334
513	3520	3328
514	3529	3323
515	3537	3317
516	3545	3312
517	3554	3307
518	3562	3301
519	3570	3296
520	3579	3290
521	3587	3285
522	3595	3279
523	3604	3274
524	3613	3269
525	3621	3263
526	3629	3257
527	3638	3252
528	3646	3246
529	3655	3241
530	3663	3235
531	3671	3229
532	3679	3223
533	3688	3219
534	3697	3214
