iter	RMSE
0	83.55369963
1	83.54071475
2	83.53282143
3	83.51806194
4	83.50029895
5	83.48285209
6	83.47178611
7	83.46525221
8	83.45119024
9	83.4383887
10	83.4266981
11	83.41398872
12	83.4042924
13	83.39424159
14	83.37827177
15	83.36561918
16	83.35895643
17	83.35230697
18	83.34625808
19	83.33969609
20	83.32597826
21	83.31164434
22	83.30441624
23	83.29458937
24	83.28656875
25	83.27532806
26	83.26049883
27	83.25302961
28	83.24245329
29	83.23024904
30	83.21889126
31	83.21342047
32	83.20015381
33	83.18910627
34	83.17820567
35	83.16919251
36	83.15813273
37	83.15039576
38	83.13527474
39	83.1262406
40	83.1189303
41	83.10955606
42	83.09296351
43	83.08236874
44	83.07111469
45	83.06759819
46	83.05838696
47	83.04705679
48	83.03855199
49	83.02644576
50	83.01991372
51	83.00706793
52	82.99845397
53	82.9933657
54	82.98715896
55	82.97635671
56	82.96372175
57	82.95659105
58	82.94807184
59	82.94039965
60	82.93041866
61	82.92499053
62	82.91396399
63	82.90393744
64	82.89405143
65	82.88344922
66	82.87173866
67	82.86242119
68	82.85725382
69	82.8490747
70	82.83326179
71	82.82515486
72	82.81201012
73	82.80712014
74	82.79054295
75	82.78232037
76	82.76938834
77	82.76106176
78	82.74890247
79	82.74179291
80	82.73042326
81	82.7189196
82	82.70915363
83	82.70595941
84	82.69460015
85	82.68898561
86	82.67856049
87	82.67159412
88	82.66802905
89	82.65796534
90	82.64974303
91	82.64152192
92	82.63845065
93	82.63054071
94	82.62069052
95	82.61113898
96	82.60179923
97	82.59257506
98	82.58660265
99	82.57915244
100	82.57461978
101	82.56865738
102	82.56060856
103	82.55114622
104	82.54340474
105	82.53328404
106	82.51861479
107	82.51038205
108	82.50135502
109	82.4916161
110	82.48314293
111	82.47371299
112	82.46317457
113	82.44929102
114	82.44440245
115	82.43681081
116	82.42741992
117	82.41975392
118	82.41251748
119	82.40598932
120	82.39970756
121	82.38979976
122	82.38415217
123	82.37628721
124	82.36779446
125	82.3547812
126	82.34813084
127	82.33738619
128	82.33296552
129	82.32564659
130	82.3190242
131	82.3119001
132	82.30820668
133	82.29963604
134	82.29020354
135	82.28052034
136	82.27370327
137	82.26162872
138	82.25459357
139	82.24360494
140	82.23582131
141	82.22924629
142	82.21977243
143	82.20712346
144	82.19791237
145	82.18960182
146	82.18007737
147	82.16931453
148	82.16221387
149	82.14773147
150	82.13743376
151	82.12785685
152	82.11859332
153	82.11023143
154	82.10217547
155	82.09496424
156	82.08667164
157	82.0770785
158	82.06847105
159	82.05872043
160	82.04713829
161	82.03608123
162	82.02689318
163	82.01754479
164	82.00536267
165	81.995917
166	81.98107233
167	81.96704978
168	81.9580065
169	81.94653605
170	81.93729962
171	81.92673279
172	81.91596992
173	81.90606122
174	81.89627685
175	81.88191533
176	81.87137035
177	81.85685345
178	81.84512979
179	81.8391195
180	81.82783862
181	81.81525209
182	81.8024834
183	81.7915271
184	81.77755009
185	81.76365722
186	81.75125137
187	81.73988569
188	81.73367119
189	81.72201905
190	81.71355003
191	81.7022939
192	81.68942199
193	81.68077597
194	81.67286558
195	81.66301485
196	81.6458972
197	81.64040067
198	81.62696093
199	81.61856652
200	81.60933992
201	81.59821383
202	81.58273737
203	81.57089657
204	81.56011659
205	81.55201996
206	81.54054634
207	81.52882163
208	81.51660719
209	81.50477995
210	81.49486399
211	81.48050205
212	81.47365374
213	81.46554698
214	81.45557046
215	81.44463434
216	81.42807091
217	81.41419672
218	81.40419351
219	81.39988955
220	81.39023658
221	81.37538713
222	81.36553738
223	81.35345749
224	81.34308305
225	81.33550961
226	81.3232135
227	81.31363306
228	81.30516238
229	81.29167139
