iter	Passed	Remaining
0	16	16228
1	25	12874
2	34	11334
3	42	10630
4	51	10302
5	60	9980
6	69	9842
7	78	9714
8	86	9569
9	95	9473
10	104	9363
11	112	9302
12	121	9215
13	129	9150
14	138	9105
15	147	9074
16	155	9013
17	165	9022
18	174	8992
19	182	8958
20	191	8925
21	200	8899
22	209	8880
23	217	8836
24	225	8803
25	234	8768
26	243	8762
27	251	8721
28	259	8698
29	268	8667
30	276	8650
31	285	8624
32	293	8605
33	302	8585
34	310	8566
35	319	8546
36	327	8531
37	336	8516
38	345	8518
39	354	8508
40	363	8493
41	371	8479
42	380	8461
43	388	8447
44	397	8436
45	405	8414
46	414	8399
47	423	8395
48	432	8385
49	440	8372
50	449	8372
51	458	8362
52	466	8342
53	475	8321
54	483	8302
55	491	8291
56	500	8283
57	509	8277
58	517	8261
59	527	8262
60	536	8260
61	544	8241
62	552	8220
63	561	8208
64	570	8202
65	578	8187
66	586	8172
67	595	8162
68	603	8144
69	612	8136
70	621	8131
71	630	8122
72	638	8106
73	646	8090
74	655	8081
75	663	8069
76	672	8063
77	681	8053
78	689	8043
79	698	8031
80	707	8030
81	716	8025
82	725	8020
83	734	8009
84	742	7997
85	751	7987
86	760	7982
87	769	7972
88	777	7956
89	785	7942
90	794	7931
91	802	7921
92	810	7909
93	819	7894
94	827	7884
95	836	7873
96	844	7862
97	852	7850
98	861	7837
99	869	7825
100	877	7812
101	886	7805
102	895	7799
103	903	7785
104	912	7776
105	920	7765
106	929	7759
107	938	7748
108	946	7735
109	954	7726
110	963	7713
111	971	7704
112	980	7693
113	988	7684
114	997	7673
115	1005	7666
116	1014	7656
117	1022	7646
118	1031	7633
119	1039	7626
120	1048	7614
121	1056	7604
122	1065	7597
123	1074	7590
124	1082	7579
125	1091	7570
126	1100	7561
127	1108	7552
128	1117	7545
129	1125	7535
130	1134	7526
131	1142	7514
132	1150	7502
133	1158	7490
134	1167	7480
135	1176	7472
136	1184	7461
137	1192	7451
138	1201	7439
139	1209	7430
140	1217	7418
141	1226	7409
142	1234	7399
143	1243	7392
144	1252	7388
145	1261	7378
146	1269	7369
147	1278	7361
148	1287	7353
149	1296	7345
150	1304	7334
151	1313	7326
152	1321	7316
153	1330	7307
154	1338	7297
155	1346	7286
156	1355	7277
157	1364	7268
158	1372	7260
159	1380	7250
160	1388	7238
161	1397	7227
162	1405	7217
163	1413	7207
164	1422	7199
165	1430	7188
166	1440	7185
167	1449	7178
168	1457	7167
169	1465	7156
170	1474	7146
171	1482	7136
172	1491	7128
173	1499	7119
174	1508	7109
175	1516	7100
176	1524	7089
177	1533	7081
178	1541	7072
179	1550	7062
180	1558	7052
181	1567	7043
182	1575	7033
183	1584	7025
184	1592	7016
185	1601	7007
186	1609	6997
187	1618	6989
188	1627	6984
189	1636	6978
190	1645	6967
191	1653	6958
192	1661	6948
193	1670	6938
194	1678	6931
195	1687	6922
196	1695	6912
197	1703	6901
198	1712	6893
199	1721	6884
200	1729	6875
201	1738	6866
202	1746	6856
203	1754	6847
204	1763	6837
205	1771	6828
206	1779	6818
207	1788	6810
208	1797	6802
209	1805	6792
210	1814	6785
211	1823	6779
212	1832	6770
213	1840	6760
214	1849	6751
215	1857	6742
216	1866	6734
217	1874	6725
218	1883	6715
219	1891	6705
220	1899	6695
221	1908	6687
222	1917	6680
223	1925	6671
224	1934	6662
225	1942	6654
226	1951	6644
227	1959	6635
228	1967	6625
229	1976	6616
230	1985	6608
231	1993	6599
232	2002	6591
233	2011	6584
234	2020	6576
235	2028	6566
236	2036	6557
237	2045	6549
238	2053	6539
239	2062	6530
240	2070	6521
241	2079	6512
242	2087	6503
243	2095	6493
244	2104	6484
245	2112	6476
246	2121	6467
247	2129	6457
248	2137	6447
249	2146	6438
250	2154	6429
251	2162	6420
252	2171	6411
253	2180	6402
254	2188	6393
255	2197	6387
256	2206	6380
257	2215	6371
258	2223	6362
259	2231	6351
260	2239	6341
261	2248	6333
262	2257	6325
263	2265	6316
264	2274	6308
265	2282	6298
266	2291	6289
267	2299	6281
268	2308	6272
269	2316	6264
270	2325	6255
271	2333	6246
272	2342	6238
273	2351	6230
274	2359	6220
275	2367	6211
276	2376	6202
277	2386	6197
278	2394	6188
279	2403	6180
280	2411	6170
281	2419	6161
282	2428	6152
283	2436	6143
284	2445	6134
285	2453	6125
286	2461	6115
287	2470	6107
288	2478	6097
289	2487	6089
290	2491	6070
291	2500	6061
292	2508	6052
293	2516	6043
294	2525	6035
295	2534	6026
296	2542	6018
297	2550	6009
298	2559	6001
299	2569	5994
300	2577	5986
301	2586	5978
302	2595	5970
303	2603	5961
304	2612	5952
305	2621	5944
306	2629	5936
307	2638	5927
308	2646	5918
309	2654	5909
310	2663	5901
311	2672	5892
312	2680	5884
313	2689	5875
314	2698	5867
315	2706	5858
316	2715	5849
317	2723	5841
318	2732	5832
319	2740	5823
320	2749	5816
321	2758	5807
322	2766	5799
323	2775	5790
324	2783	5781
325	2792	5773
326	2800	5764
327	2809	5755
328	2817	5746
329	2826	5737
330	2834	5728
331	2842	5719
332	2851	5711
333	2860	5703
334	2868	5694
335	2876	5684
336	2885	5676
337	2893	5667
338	2902	5659
339	2911	5651
340	2919	5642
341	2929	5635
342	2938	5627
343	2946	5619
344	2955	5610
345	2963	5601
346	2972	5593
347	2981	5585
348	2990	5577
349	2999	5569
350	3007	5561
351	3016	5552
352	3024	5544
353	3032	5534
354	3041	5525
355	3049	5516
356	3057	5507
357	3066	5498
358	3074	5489
359	3082	5480
360	3090	5471
361	3099	5461
362	3108	5454
363	3116	5446
364	3125	5437
365	3133	5428
366	3142	5420
367	3151	5412
368	3159	5402
369	3167	5393
370	3176	5384
371	3184	5376
372	3193	5367
373	3201	5358
374	3210	5350
375	3218	5341
376	3227	5333
377	3235	5324
378	3243	5315
379	3252	5306
380	3260	5297
381	3268	5288
382	3277	5279
383	3285	5270
384	3294	5263
385	3303	5254
386	3311	5246
387	3320	5237
388	3329	5229
389	3338	5222
390	3347	5213
391	3355	5204
392	3364	5196
393	3372	5187
394	3381	5179
395	3390	5170
396	3398	5161
397	3406	5152
398	3415	5144
399	3423	5135
400	3431	5126
401	3439	5116
402	3448	5107
403	3456	5099
404	3465	5090
405	3473	5081
406	3482	5074
407	3491	5065
408	3499	5056
409	3508	5048
410	3516	5039
411	3525	5031
412	3534	5023
413	3542	5014
414	3552	5007
415	3560	4998
416	3568	4989
417	3577	4980
418	3585	4972
419	3594	4963
420	3602	4954
421	3610	4945
422	3619	4937
423	3628	4928
424	3636	4920
425	3645	4911
426	3654	4903
427	3663	4896
428	3672	4887
429	3680	4878
430	3688	4869
431	3697	4861
432	3705	4851
433	3713	4843
434	3722	4834
435	3730	4825
436	3738	4817
437	3747	4808
438	3755	4799
439	3764	4790
440	3772	4782
441	3780	4773
442	3789	4765
443	3798	4756
444	3806	4747
445	3815	4739
446	3823	4730
447	3832	4722
448	3840	4713
449	3850	4705
450	3858	4697
451	3867	4688
452	3875	4679
453	3883	4670
454	3891	4661
455	3900	4653
456	3908	4644
457	3917	4635
458	3925	4626
459	3933	4617
460	3941	4608
461	3950	4599
462	3958	4591
463	3967	4582
464	3976	4574
465	3984	4566
466	3992	4557
467	4001	4548
468	4009	4539
469	4018	4531
470	4026	4522
471	4035	4513
472	4044	4506
473	4053	4498
474	4062	4490
475	4071	4481
476	4080	4473
477	4088	4464
478	4097	4456
479	4105	4448
480	4114	4439
481	4123	4431
482	4132	4423
483	4141	4415
484	4150	4406
485	4158	4398
486	4166	4389
487	4175	4380
488	4183	4371
489	4192	4363
490	4201	4355
491	4209	4346
492	4218	4337
493	4226	4329
494	4236	4321
495	4244	4313
496	4253	4304
497	4261	4295
498	4270	4287
499	4278	4278
500	4287	4270
501	4296	4262
502	4305	4253
503	4313	4244
504	4321	4236
505	4329	4227
506	4338	4218
507	4347	4210
508	4355	4201
509	4363	4192
510	4372	4184
511	4381	4175
512	4390	4167
513	4398	4159
514	4406	4149
515	4416	4142
516	4424	4133
